Config,Gain,Vcc,Vout,RC,RE,RG
CC,79.45,12.5,1.53,100,1000,22000
CE,27.6,19.01,11.44,7570,274.2503623,9487.506385
CG,61.04,15.95,5.35,1000,50,16.38
CC,25.18,8.34,2.39,100,1000,22000
CE,75.26,12.36,3.36,9000,119.5604372,9336.925213
CG,46.27,9.68,6.35,1000,50,21.61
CC,56.54,17.82,12.77,100,1000,22000
CG,48.1,13.05,10.91,1000,50,20.79
CC,49.6,11.84,9.92,100,1000,22000
CE,6.96,16.38,5.6,10780,1548.825575,8627.090614
CE,66.35,9.87,5.09,4780,72.01720045,9217.814387
CE,87.9,9.1,6.67,2430,27.62005119,9200.417526
CC,69.59,11.84,5.76,100,1000,22000
CE,95,15.96,4.55,11410,120.0802632,9486.165249
CE,95.96,12.08,8.17,3910,40.72114423,9386.820245
CE,74.39,14.69,3.73,10960,147.3066306,9423.208556
CC,81.72,16.21,10.59,100,1000,22000
CG,17.55,15.75,6.45,1000,50,56.98
CC,84.84,8.07,2,100,1000,22000
CG,38.78,19.11,14.09,1000,50,25.79
CC,90.85,6.25,3.35,100,1000,22000
CE,9.33,8.14,2.76,5380,576.6095123,8431.683646
CC,14.53,5.25,4.02,100,1000,22000
CE,84.14,19.76,13.49,6270,74.49365938,9608.049768
CE,11.08,12.28,11.05,1230,110.9858303,9339.588086
CE,37.13,19.42,5.04,14380,387.2629074,9440.132386
CC,51.77,15.73,7.67,100,1000,22000
CG,52.32,17.67,4.05,1000,50,19.11
CC,37.99,7.22,6.13,100,1000,22000
CG,76.59,5.06,1.82,1000,50,13.06
CE,45.68,9.47,4,5470,119.7210595,9134.40226
CG,26.31,6.47,4.85,1000,50,38.01
CE,37.64,16.83,7.1,9730,258.476594,9430.495191
CE,33.67,16.63,14.55,2080,61.75106178,9541.941635
CE,95.52,5.21,2.71,2500,26.14752931,8606.242746
CE,88.87,8.76,5.58,3180,35.7576038,9160.09406
CE,28.31,11.31,6.19,5120,180.8298216,9221.193792
CG,41.01,6.45,2.14,1000,50,24.38
CG,10.26,9.52,2.97,1000,50,97.47
CC,54.84,11.63,9.21,100,1000,22000
CE,41.09,7.72,5.51,2210,53.75937576,9023.627752
CG,67.7,8.1,6.17,1000,50,14.77
CG,40.51,13.81,4.22,1000,50,24.69
CE,17.68,16.69,14.59,2100,118.7532805,9509.434823
CC,80.98,6.15,3.15,100,1000,22000
CG,59.87,19.39,12.23,1000,50,16.7
CC,45.89,12.65,6.71,100,1000,22000
CC,31.37,6.93,2.94,100,1000,22000
CE,22.78,18.56,10.01,8550,375.3042362,9420.633493
CG,91.5,6.24,4.39,1000,50,10.93
CG,13.88,11.39,5.44,1000,50,72.05
CG,73.04,5.41,3.49,1000,50,13.69
CE,20.25,16.95,15.34,1610,79.48117284,9540.129102
CG,52.83,19.31,10.66,1000,50,18.93
CC,95.43,13.64,10.55,100,1000,22000
CG,99.28,6.28,1.4,1000,50,10.07
CE,42.85,5.94,2.67,3270,76.28771879,8693.118319
CG,74.13,16.13,5.34,1000,50,13.49
CE,38.76,10.35,1.14,9210,237.5910991,9094.11488
CE,85.31,13.04,8.51,4530,53.07545716,9422.488146
CE,87.6,11.81,4.2,7610,86.84714612,9333.745008
CE,27.53,17.59,9.14,8450,306.9128859,9427.565159
CE,45.74,6.02,2.01,4010,87.64443594,8691.620538
CE,60.11,16.57,6.48,10090,167.8339253,9476.261964
CC,98.26,8.67,3.5,100,1000,22000
CC,43.86,7.44,4.47,100,1000,22000
CC,65.8,10.52,3.66,100,1000,22000
CG,32.4,8.62,5.39,1000,50,30.86
CC,65.22,18.9,15.43,100,1000,22000
CG,57.7,9.31,6.17,1000,50,17.33
CG,47.48,19.53,7.37,1000,50,21.06
CG,9.37,8.49,3.26,1000,50,106.72
CC,29.44,10.73,7.09,100,1000,22000
CC,33.17,19.88,5.46,100,1000,22000
CC,95.34,8.5,5.48,100,1000,22000
CE,92.09,6.71,3.97,2740,29.72850201,8912.476152
CG,41.01,10.61,7.45,1000,50,24.38
CG,80.58,12.56,4.13,1000,50,12.41
CE,84.72,8.57,4.3,4270,50.376322,9124.415027
CC,65.23,18.01,16.05,100,1000,22000
CG,7.34,7.23,1.69,1000,50,136.24
CG,47.92,6.06,2.19,1000,50,20.87
CG,47.51,15.44,6.08,1000,50,21.05
CC,41.37,18.43,16.9,100,1000,22000
CG,98.06,7.23,2.35,1000,50,10.2
CG,43.64,13.28,4.06,1000,50,22.91
CG,97.16,5.38,4,1000,50,10.29
CE,34.49,10.6,5.51,5090,147.5540084,9200.420747
CE,36.68,18.86,15.54,3320,90.48754089,9580.865567
CG,90.64,9.95,8.07,1000,50,11.03
CG,38.11,16.1,10.6,1000,50,26.24
CE,94.75,18.39,12.1,6290,66.36022427,9583.273396
CG,69.24,18.19,9.8,1000,50,14.44
CG,86.35,14.53,4.75,1000,50,11.58
CG,40.4,12.96,11.11,1000,50,24.75
CE,52.76,7.3,3.26,4040,76.54816149,8936.235395
CC,64.11,9.19,2.51,100,1000,22000
CE,59.83,15.43,10.02,5410,90.39786478,9487.752518
CE,41.94,8.41,3.92,4490,107.0327015,9040.389178
CE,60.93,19.44,1.29,18150,297.8578163,9486.698654
CC,46.86,15.28,9.61,100,1000,22000
CE,80.13,6.46,2.97,3490,43.52922439,8849.025968
CG,41.39,17.1,7.96,1000,50,24.16
CE,56.22,18.31,15.35,2960,52.62530238,9588.953958
CE,17.68,19.71,16.44,3270,184.9297511,9551.024987
CG,56.5,6.81,4.27,1000,50,17.7
CC,96.99,18.8,1.61,100,1000,22000
CE,35.07,8.7,4.77,3930,112.0365911,9066.624608
CG,20.24,18.29,8.27,1000,50,49.41
CE,60.18,7.19,2.74,4450,73.91983217,8923.616367
CC,12.27,15.45,4.33,100,1000,22000
CG,54.17,12.12,2.87,1000,50,18.46
CG,90.32,15.09,7.92,1000,50,11.07
CE,35.45,5.05,2.82,2230,62.88050071,8489.345543
CE,5.49,19.55,12.65,6900,1256.805601,8999.076419
CC,69.63,5.95,3.4,100,1000,22000
CG,43.31,14.5,12.13,1000,50,23.09
CG,39.95,11.85,4.32,1000,50,25.03
CC,61.31,10.32,6.47,100,1000,22000
CG,83.06,11.04,1.34,1000,50,12.04
CG,38.43,15.82,9.81,1000,50,26.02
CC,30.34,13.46,11.97,100,1000,22000
CG,30.86,6.23,4.24,1000,50,32.4
CC,27.98,11.48,5.95,100,1000,22000
CC,22.04,11.5,4.09,100,1000,22000
CC,93.96,19.11,1.9,100,1000,22000
CG,98.43,11,4.42,1000,50,10.16
CG,77.67,7.84,6.25,1000,50,12.87
CC,14.24,12.47,7.08,100,1000,22000
CE,21.06,17.89,1.93,15960,757.8097578,9185.125904
CE,49.95,12.2,6.19,6010,120.2953203,9327.626787
CC,45.25,17.86,2.86,100,1000,22000
CG,43.36,11,7.04,1000,50,23.06
CC,86.39,11,4.43,100,1000,22000
CG,40.6,14.92,9.08,1000,50,24.63
CC,68.82,9.86,3.49,100,1000,22000
CE,43.48,11.08,3.92,7160,164.6484131,9219.631396
CG,75.04,6.65,3.82,1000,50,13.33
CG,7.82,18.34,12.15,1000,50,127.88
CG,7.77,13.02,5.45,1000,50,128.7
CC,39.68,7.86,1.11,100,1000,22000
CE,78.21,15.81,9.75,6060,77.45869774,9508.248768
CG,56.04,9.12,1.06,1000,50,17.84
CC,30.18,5.99,1.26,100,1000,22000
CC,91.56,18.27,15.6,100,1000,22000
CC,23.96,11.49,6.01,100,1000,22000
CC,11.69,11.33,4.62,100,1000,22000
CE,7.75,18.44,7.45,10990,1418.039516,8851.388549
CC,70.62,19.81,14.52,100,1000,22000
CG,48.31,14.64,4.21,1000,50,20.7
CG,29.79,12.44,8.12,1000,50,33.57
CE,14.26,17.78,7.24,10540,739.1054348,9190.604367
CC,62.85,13.69,2.99,100,1000,22000
CG,88.78,15.79,14.33,1000,50,11.26
CG,81.26,17.55,7.46,1000,50,12.31
CG,54.47,9.01,7.15,1000,50,18.36
CC,45.46,6.41,5.32,100,1000,22000
CG,86.58,11.88,5.39,1000,50,11.55
CE,88.66,19.18,18.04,1140,12.83310963,9628.345615
CC,90.06,5.98,3.73,100,1000,22000
CC,28.26,8.25,2.04,100,1000,22000
CE,73.54,12.24,2.99,9250,125.7568874,9325.36202
CG,78.93,17.66,3.18,1000,50,12.67
CG,33.58,6.18,4.04,1000,50,29.78
CE,79.3,8.71,1.25,7460,94.04813997,9088.348863
CE,15.22,13.52,3.84,9680,635.9802562,9011.848923
CG,93.85,16.58,9.91,1000,50,10.66
CG,42.22,8.63,2.66,1000,50,23.69
CE,8.8,14.6,6.14,8460,961.3386364,8862.096824
CG,71.99,13.94,7.41,1000,50,13.89
CC,62.02,14.81,5.78,100,1000,22000
CC,64.06,9.33,7.41,100,1000,22000
CG,12.73,9.83,5.79,1000,50,78.55
CG,73.99,15.17,2.91,1000,50,13.52
CG,45.41,5.95,1.82,1000,50,22.02
CE,13.38,14.03,9.59,4440,331.813565,9264.56624
CE,20.12,14.09,2.4,11690,580.9889165,9090.852437
CE,86.17,13.32,1.29,12030,139.5827521,9369.682619
CG,12.61,12.76,9.12,1000,50,79.3
CE,44.72,7.59,1.6,5990,133.9195438,8901.291774
CG,56.86,13.83,11.61,1000,50,17.59
CC,43.92,10.6,5.43,100,1000,22000
CG,97.43,18.08,3.52,1000,50,10.26
CG,92.35,15.66,3.42,1000,50,10.83
CC,53.46,6.92,4.06,100,1000,22000
CC,31.87,10.09,5.86,100,1000,22000
CC,60.63,8.8,2.37,100,1000,22000
CC,51.73,18.48,4.06,100,1000,22000
CG,60.8,17.14,4.09,1000,50,16.45
CE,30.31,9.47,8.31,1160,38.24619762,9220.436961
CC,74.12,9.35,5.25,100,1000,22000
CE,28,15.27,9.88,5390,192.475,9415.537001
CG,74.91,7.12,5.43,1000,50,13.35
CE,9.3,9.88,4.92,4960,533.3083333,8751.712213
CC,64.01,12.47,10.08,100,1000,22000
CC,77.5,9.67,7.82,100,1000,22000
CC,49.02,8.97,5.01,100,1000,22000
CG,92.26,6.8,2.61,1000,50,10.84
CE,16.01,18.5,1.94,16560,1034.328529,9062.525119
CE,13.3,10.8,7.42,3380,254.1103383,9116.564502
CE,34.11,19.83,11.23,8600,252.1004764,9519.868645
CE,67.45,12.76,6.22,6540,96.93571164,9375.442232
CE,14.89,14.22,9.94,4280,287.4162357,9305.614462
CE,8.66,16.6,4.17,12430,1435.309873,8713.668751
CE,66.22,10.1,6.89,3210,48.44978103,9258.960613
CG,50.18,17.3,5.56,1000,50,19.93
CG,99.34,7.47,3.81,1000,50,10.07
CE,26.6,6.03,3.84,2190,82.30582707,8702.643736
CG,97.86,12.56,5.14,1000,50,10.22
CC,74.14,17.23,4.32,100,1000,22000
CC,97.59,18.37,12.47,100,1000,22000
CG,50.61,12.83,10.24,1000,50,19.76
CE,16.21,16.77,8.26,8510,524.9595774,9269.553025
CG,35.62,9.75,4.74,1000,50,28.07
CC,11.87,9.2,7.5,100,1000,22000
CC,97.16,11.66,4.55,100,1000,22000
CC,49.38,6.13,4.42,100,1000,22000
CE,5.92,7.05,4.6,2450,413.8263514,8420.104466
CE,92.62,12.39,10.08,2310,24.91561758,9414.918791
CC,46.31,11.21,4.82,100,1000,22000
CG,35.67,8.44,4.26,1000,50,28.03
CG,26.89,6.77,1.19,1000,50,37.19
CC,26.72,15.16,8.8,100,1000,22000
CG,39.79,18.96,10.26,1000,50,25.13
CG,21.97,6.74,2.16,1000,50,45.52
CG,95.6,13.73,2.26,1000,50,10.46
CE,80.52,5.49,3.44,2050,25.43451316,8678.625659
CC,51.5,8.66,4.92,100,1000,22000
CC,27.4,14.31,8.87,100,1000,22000
CC,17.73,18.97,12.38,100,1000,22000
CC,22.61,19.94,3.32,100,1000,22000
CC,29.01,6.09,3.64,100,1000,22000
CE,47.77,9.32,7.74,1580,33.05015177,9213.465502
CE,17.09,12.89,2.54,10350,605.5923201,8987.127758
CC,64.54,15.91,1.34,100,1000,22000
CG,23.96,12.39,4.59,1000,50,41.74
CC,97.07,8.98,1.09,100,1000,22000
CG,44.31,15.16,6.95,1000,50,22.57
CE,34.51,16.87,11.63,5240,151.8150464,9495.071105
CC,13.71,8.44,5.41,100,1000,22000
CG,57.26,17.48,1.94,1000,50,17.46
CE,96.72,17.89,3.42,14470,149.5821133,9525.107818
CE,91.46,5.42,1.63,3790,41.41388038,8632.077711
CG,70.69,6.63,2.23,1000,50,14.15
CE,58.48,15.96,3.69,12270,209.7903215,9429.955939
CG,28.14,19.97,13.06,1000,50,35.54
CC,9.08,15.51,13.34,100,1000,22000
CG,20,16.8,15.4,1000,50,50
CC,89.08,6.5,4.42,100,1000,22000
CE,96.87,14.23,7.76,6470,66.76554403,9461.162654
CC,30.3,17.11,3.47,100,1000,22000
CE,98.59,16.75,8.66,8090,82.03200375,9533.115222
CE,59.48,11.88,5.79,6090,102.3623571,9324.610811
CG,45.24,10.37,2.37,1000,50,22.1
CG,73.02,5.85,4.77,1000,50,13.69
CG,91.09,17.25,9.43,1000,50,10.98
CC,96.43,6.66,3.94,100,1000,22000
CC,83.26,9.13,3.63,100,1000,22000
CC,71.11,11.19,2.51,100,1000,22000
CE,65.65,9.21,7.83,1380,20.99556359,9217.160083
CG,47.6,11.05,1.62,1000,50,21.01
CE,42.27,8.32,5.32,3000,70.94732079,9073.380624
CG,22.24,7.49,2.32,1000,50,44.96
CE,38.24,15.6,1.33,14270,373.1444561,9312.086887
CG,20.14,14.67,5.22,1000,50,49.65
CC,98.84,18.31,1.09,100,1000,22000
CC,76.35,7.34,3.27,100,1000,22000
CG,14.84,5.27,2.93,1000,50,67.39
CG,85.03,10.45,3.09,1000,50,11.76
CC,51.2,13.82,12.63,100,1000,22000
CC,93.55,14.03,8.16,100,1000,22000
CE,17.88,15.8,13.77,2030,113.5096756,9485.120458
CC,90.92,16.69,13.48,100,1000,22000
CE,66.71,18.92,15.67,3250,48.69333308,9604.284708
CC,69.09,15.1,11.51,100,1000,22000
CG,41.09,13.41,8.62,1000,50,24.34
CE,78.85,7.15,2.55,4600,58.31361763,8939.421514
CC,94.51,18.32,15.04,100,1000,22000
CG,37.71,13.23,10.15,1000,50,26.52
CC,66.49,10.79,1.28,100,1000,22000
CC,81.72,5.77,3.36,100,1000,22000
CG,10.78,18.29,15.63,1000,50,92.76
CC,58.93,19.74,18.43,100,1000,22000
CC,16.27,19.07,5.17,100,1000,22000
CG,47.42,6.42,4.87,1000,50,21.09
CE,22.65,6.57,1.53,5040,222.4915563,8595.903263
CE,71.64,14.37,1.44,12930,180.4607621,9387.292441
CE,43.16,6.29,1.27,5020,116.2863994,8702.247378
CG,21.08,19.48,3.64,1000,50,47.44
CE,37.09,9.55,8.4,1150,30.9806619,9234.575223
CC,97.32,10.46,7.67,100,1000,22000
CG,50.22,19.84,14.37,1000,50,19.91
CC,16.3,11.26,8.24,100,1000,22000
CE,18.82,7.91,6.87,1040,55.23536132,9045.214461
CG,59.49,19.33,17.97,1000,50,16.81
CE,39.11,18.32,11.42,6900,176.4004666,9521.615466
CG,92.6,14.57,2.23,1000,50,10.8
CE,79.69,16.22,12.28,3940,49.41658615,9537.967579
CC,46.88,13.29,3.57,100,1000,22000
CG,69.14,5.32,1.34,1000,50,14.46
CC,16.95,8.08,6.7,100,1000,22000
CE,9.85,9.97,3.55,6420,651.7516497,8644.180893
CG,37.14,10.5,8.36,1000,50,26.93
CE,83.95,14.91,2.97,11940,142.2025164,9435.142511
CG,92.5,8.61,5.55,1000,50,10.81
CG,46.36,16.93,11.12,1000,50,21.57
CC,53.45,8.79,5.41,100,1000,22000
CE,78.07,15.68,1.74,13940,178.5327046,9439.711285
CC,59.19,9.11,2.57,100,1000,22000
CG,77.19,16.89,9.19,1000,50,12.96
CE,63.4,5.56,1.05,4510,71.11064669,8613.110348
CC,83.23,17.99,16.36,100,1000,22000
CC,57.5,8.77,3.19,100,1000,22000
CC,58.01,19.74,8.1,100,1000,22000
CC,27.07,12.89,6.43,100,1000,22000
CC,30.77,8.87,4.66,100,1000,22000
CE,13,11.3,5.81,5490,422.2826923,9006.829476
CE,21.05,10.61,4.56,6050,287.3859264,9069.381785
CG,6.4,17.04,10.23,1000,50,156.25
CC,81.98,13.66,1.88,100,1000,22000
CE,40.27,16.5,10.99,5510,136.8014217,9492.847623
CC,15.01,19.47,13.45,100,1000,22000
CG,89.18,17.95,13.37,1000,50,11.21
CC,80.36,14.9,8.49,100,1000,22000
CC,48.43,17.03,12.18,100,1000,22000
CC,76.85,6.26,3.2,100,1000,22000
CE,92.13,7.55,1.22,6330,68.68226148,8981.877799
CE,87.97,11.67,5.86,5810,66.0202427,9343.598764
CE,71.31,13.13,7.04,6090,85.37676693,9401.84557
CE,35.25,7.52,4.07,3450,97.84734043,8939.032792
CC,32.21,18.52,11.61,100,1000,22000
CC,63.66,19.78,16.78,100,1000,22000
CC,37.02,11.45,9.03,100,1000,22000
CE,51.28,19.86,17.29,2570,50.09200468,9622.310169
CC,18.7,10.94,2.33,100,1000,22000
CC,24.02,15.1,9.44,100,1000,22000
CE,78.25,12.92,10.53,2390,30.51813099,9434.58349
CC,17.57,7.9,5.04,100,1000,22000
CG,25.07,5.67,4.16,1000,50,39.89
CE,33.38,8.83,6.13,2700,80.86175854,9115.671848
CC,11.19,15.67,8.79,100,1000,22000
CC,15.13,11.13,3.7,100,1000,22000
CE,48.49,12.69,10.71,1980,40.80816148,9416.226823
CG,89.05,15.53,7.63,1000,50,11.23
CE,78.31,10.1,2.77,7330,93.57734964,9214.279852
CC,14.88,18.62,12.78,100,1000,22000
CC,80.29,17.53,8.51,100,1000,22000
CG,9.22,12.68,1.68,1000,50,108.46
CG,95.19,8.97,1.71,1000,50,10.51
CC,90.7,11.88,9.08,100,1000,22000
CG,33.77,14.67,13.3,1000,50,29.61
CC,68.8,17.64,1.25,100,1000,22000
CC,47.07,18.47,6.29,100,1000,22000
CG,53.9,7.11,4.64,1000,50,18.55
CG,23.99,13.63,6.32,1000,50,41.68
CE,48.99,9.61,5.84,3770,76.92948051,9191.540603
CE,40.57,10.31,4.14,6170,152.0578198,9173.561765
CC,92.97,8.79,5.89,100,1000,22000
CE,77.15,6.89,5.76,1130,14.62179196,8962.813074
CG,26.64,11.7,9.12,1000,50,37.54
CG,42.13,19.57,3.02,1000,50,23.74
CG,80.82,13.26,12.04,1000,50,12.37
CE,96.29,14.42,8.34,6080,63.11759009,9470.79224
CC,62.12,16.58,7.02,100,1000,22000
CC,80.04,9.76,8.6,100,1000,22000
CE,88.69,13.34,9.41,3930,44.28664731,9442.063983
CG,31.03,18.81,13.99,1000,50,32.23
CC,45.7,18.85,2.77,100,1000,22000
CG,93.43,15.42,11.44,1000,50,10.7
CG,73.17,16.07,13.75,1000,50,13.67
CC,49.61,8.24,4.21,100,1000,22000
CC,18.15,7.91,3.84,100,1000,22000
CG,78.28,6.09,3.74,1000,50,12.77
CG,81.46,19.98,16.23,1000,50,12.28
CC,17.11,17.61,1.93,100,1000,22000
CC,65.2,7.02,2.03,100,1000,22000
CG,70.42,5.64,2.87,1000,50,14.2
CG,50.11,11.54,3.94,1000,50,19.96
CE,39.01,11.53,6.63,4900,125.5838183,9283.968935
CC,39.78,10.57,3.34,100,1000,22000
CG,8.88,8.87,6.09,1000,50,112.61
CC,78.13,16.53,13.45,100,1000,22000
CE,34.96,8.53,6.25,2280,65.1923913,9102.939752
CG,60.87,5.51,4.5,1000,50,16.43
CE,45.45,14.95,2.85,12100,266.2016227,9353.711289
CG,14.38,16.23,7.44,1000,50,69.54
CG,91.96,7.2,5.78,1000,50,10.87
CE,22.09,12.53,11.33,1200,54.29822318,9398.006207
CE,60.63,13.87,1.68,12190,201.030583,9350.37449
CG,78.76,16.01,3.06,1000,50,12.7
CC,42.35,13.85,11.45,100,1000,22000
CE,10.09,7.72,1.64,6080,602.5518087,8312.756724
CG,26.61,17.71,10.45,1000,50,37.58
CG,26.45,16.27,12.93,1000,50,37.81
CE,85.31,16.67,5.51,11160,130.7920203,9501.624463
CE,9.06,5.01,1.82,3190,352.0721302,7900.055628
CC,56.4,11.1,9.68,100,1000,22000
CE,81.17,7.78,3.4,4380,53.93582296,9030.930819
CG,94.84,11.93,2.09,1000,50,10.54
CG,80.9,6.17,4.36,1000,50,12.36
CE,43.55,19.74,12.66,7080,162.5467566,9563.046223
CE,55.19,15.08,7.15,7930,143.6604503,9440.543468
CC,27.99,8.75,6.74,100,1000,22000
CG,58.4,11.84,6.87,1000,50,17.12
CC,14.04,12.27,9.02,100,1000,22000
CG,71.06,6.39,1.73,1000,50,14.07
CG,95.31,14.03,10.8,1000,50,10.49
CC,79.81,12.37,7.1,100,1000,22000
CG,9.2,11.47,7.37,1000,50,108.7
CC,17.32,5.62,1.02,100,1000,22000
CC,37.21,7.83,5.68,100,1000,22000
CC,8.71,11.53,7.36,100,1000,22000
CG,90.47,6.75,1.78,1000,50,11.05
CE,28.52,6.85,1.52,5330,186.8613955,8705.311831
CC,74.21,18.51,13.71,100,1000,22000
CE,73.2,8.75,1.07,7680,104.8930328,9080.122248
CG,44.52,8.47,2.99,1000,50,22.46
CG,32.95,10.31,1.03,1000,50,30.35
CE,16.1,11.19,8.75,2440,151.527795,9239.027886
CG,89.04,8.1,5.86,1000,50,11.23
CC,59.15,13.28,11.79,100,1000,22000
CG,90.32,18.89,5.06,1000,50,11.07
CE,21.41,12.22,2.12,10100,471.7171766,9041.147973
CG,45.53,5.37,2.31,1000,50,21.96
CC,51.89,17.39,13.6,100,1000,22000
CG,97.76,14.68,1.1,1000,50,10.23
CC,77.38,18.36,14.19,100,1000,22000
CG,67.9,13.27,5.92,1000,50,14.73
CG,41.51,15.55,5.78,1000,50,24.09
CC,66.04,10.42,5.05,100,1000,22000
CG,24.71,16.83,5.05,1000,50,40.47
CC,23.67,5.45,1.78,100,1000,22000
CG,97.52,15.51,12.37,1000,50,10.25
CE,29.37,16.61,10.59,6020,204.9460589,9455.179977
CG,49.59,16.39,3.56,1000,50,20.17
CE,43.05,11.36,6.17,5190,120.5324913,9277.700272
CG,85.22,16.57,8.92,1000,50,11.73
CE,11.9,16.5,4.86,11640,978.1262605,8982.953782
CC,59.92,18.19,2.59,100,1000,22000
CG,84.8,14.92,1.76,1000,50,11.79
CG,49.16,19.44,15.2,1000,50,20.34
CE,58.31,17.55,5.32,12230,209.7160393,9481.643282
CG,32.89,19.52,4.96,1000,50,30.4
CG,78.27,13.27,7.31,1000,50,12.78
CC,25.75,15.25,14.03,100,1000,22000
CG,95.82,19.37,15.32,1000,50,10.44
CG,96.83,19.62,9.21,1000,50,10.33
CG,98.96,17.27,6.2,1000,50,10.11
CC,28.81,17.79,1.92,100,1000,22000
CC,21.88,6.48,3.28,100,1000,22000
CC,34.8,12.69,4.23,100,1000,22000
CC,92.51,12.59,7.97,100,1000,22000
CE,78.84914665,13.86864319,1.744808169,12123.83502,153.7348761,9384.413555
CG,24.21394687,15.35344918,4.327405881,380.3134187,251.3481504,5500.532503
CG,75.86445342,10.74595543,15.2011733,787.1854766,361.0674417,16534.43668
CC,65.6473554,8.318403746,11.02050473,889.323348,262.5049404,19025.51216
CC,63.67754911,10.78673622,18.20978992,188.9526753,107.6586368,2510.202725
CE,46.6501328,11.11586938,18.0143666,-6898.497218,-147.9023329,9503.324798
CE,31.87666302,13.08294499,13.88443475,-801.4897582,-25.16846491,9484.189886
CE,45.50365292,12.17986065,12.14131374,38.54690952,0.822116815,9424.605801
CG,100.2554875,14.54167792,15.86147775,915.1305333,564.9736378,20698.99526
CE,53.57466542,5.605161799,17.48919501,-11884.03322,-221.846884,9146.941456
CG,62.13292122,8.190809235,3.612567563,579.7615176,331.3918566,7528.260431
CE,79.93255271,5.086388167,1.285886354,3800.501813,47.52135858,8530.349368
CC,15.08905155,13.53408805,10.11833473,907.2953805,760.763586,163.2861102
CC,38.04898781,10.05730857,14.57424746,145.3981485,415.1148519,7778.071407
CG,27.29335603,16.90953828,17.0847544,955.2320104,191.5311314,11380.11931
CC,15.83353419,9.844953062,9.913839923,711.4991293,230.085064,1797.592699
CG,68.97319306,14.10296064,11.01204491,492.6680779,619.5267824,20999.98799
CE,82.50462395,18.75518772,8.898925193,9856.262526,119.4381531,9563.087203
CC,52.679995,12.94398885,5.261947416,771.4820081,515.7564233,6036.973023
CC,34.17892203,18.69371297,16.78240036,727.8069527,605.5829707,16352.02684
CE,52.52368737,8.282097969,13.93826555,-5656.167581,-107.7129378,9284.858662
CC,39.92341753,14.55870742,5.460515592,146.9101966,686.7806236,15404.57746
CE,29.54338845,6.46883857,5.956514714,512.3238562,17.31640473,8891.120258
CG,53.87981918,13.17496021,7.730266193,474.1578125,564.1449382,20730.52309
CE,27.00420077,14.51870082,7.283242788,7235.458035,267.9132403,9333.333435
CC,43.6564885,17.10145299,14.83793196,169.2956009,402.4126925,189.2957069
CG,72.0651103,13.35357838,5.95735502,738.2207831,809.2640972,5594.088239
CC,93.61607501,5.866421997,16.9659422,938.9297048,221.4348765,19132.3561
CG,73.33828923,14.32765451,14.10827352,179.3677834,361.7564203,3979.054622
CE,41.98038157,14.69507047,14.42790734,267.1631329,6.338999633,9519.336092
